City,State,County,Region,Division,Latitude,Longitude,Population,Asian,White,Black,Indian,Hispanic,Hawaiian,Other,Females,Males,Median_age,Median_female_age,Median_male_age,Households,Persons_per_household,Household_income
Adak,Alaska,Aleutians West,West,Pacific,51.854871,-177.088812,326,178,90,13,46,29,10,28,127,199,45.5,40.7,48.5,44,2.48,52727.0
Akiachak,Alaska,Bethel,West,Pacific,60.878536,-161.425504,627,1,26,4,603,1,0,0,323,304,24.6,22.2,26.6,150,4.18,35833.0
Akiak,Alaska,Bethel,West,Pacific,60.91462,-161.294456,346,1,23,1,328,1,0,0,177,169,25.8,26.5,25.4,90,3.84,26250.0
Akutan,Alaska,Aleutians East,West,Pacific,54.16727,-165.747981,1027,462,273,186,76,214,17,63,237,790,44.1,46.3,43.6,40,2.25,33750.0
Alakanuk,Alaska,Wade Hampton,West,Pacific,62.723427,-163.8538,677,3,28,3,660,0,0,0,334,343,21.1,21.0,21.1,160,4.23,26346.0
Aleknagik,Alaska,Dillingham,West,Pacific,59.344639,-158.774876,221,4,54,0,187,0,2,0,92,129,29.7,30.0,29.5,72,3.07,22750.0
Allakaket,Alaska,Yukon Koyukuk,West,Pacific,66.534416,-152.720306,208,0,7,0,206,0,0,0,90,118,27.4,27.4,27.3,74,2.81,20417.0
Ambler,Alaska,Northwest Arctic,West,Pacific,67.6806,-156.875819,259,0,34,6,229,0,1,0,127,132,28.8,28.2,31.0,76,3.41,43500.0
Anaktuvuk Pass,Alaska,North Slope,West,Pacific,68.136652,-151.696756,324,1,45,7,298,7,2,0,144,180,27.0,27.6,26.3,99,3.27,52500.0
Anchor Point,Alaska,Kenai Peninsula,West,Pacific,59.81156,-151.640287,432,36,2373,8,178,58,5,21,1185,1325,46.0,44.5,47.1,1069,2.35,40040.0
Anchorage,Alaska,Anchorage,West,Pacific,61.207482,-149.74147,234188,28026,168676,19600,33067,18530,7676,8082,119307,122730,20.18,20.23,19.38,90801,1.34,23396.64
Anderson,Alaska,Denali,West,Pacific,64.2816,-149.131769,226,1,213,2,18,9,1,5,100,126,43.8,41.0,45.0,91,2.48,56667.0
Angoon,Alaska,Hoonah Angoon,West,Pacific,57.712628,-133.669726,479,16,100,14,412,36,0,3,203,276,39.3,32.9,43.8,174,2.75,29861.0
Aniak,Alaska,Bethel,West,Pacific,61.476572,-156.713567,726,2,178,6,601,9,1,1,349,377,29.3,27.5,30.6,245,2.96,35167.0
Anvik,Alaska,Yukon Koyukuk,West,Pacific,63.30264,-159.868254,85,0,6,0,82,0,0,0,39,46,29.8,29.5,31.3,33,2.58,21250.0
Arctic Village,Alaska,Yukon Koyukuk,West,Pacific,68.151868,-145.485017,152,0,17,0,145,0,0,0,66,86,29.0,29.0,29.0,65,2.34,20250.0
Atka,Alaska,Aleutians West,West,Pacific,52.210572,-173.820056,61,0,3,0,58,0,0,0,25,36,35.5,30.5,39.0,24,2.54,30938.0
Atqasuk,Alaska,North Slope,West,Pacific,70.489114,-157.39876,237,0,18,0,221,0,0,0,98,139,25.1,27.5,21.9,68,3.49,66607.0
Barrow,Alaska,North Slope,West,Pacific,70.29235,-156.597982,4213,459,983,83,2889,131,144,48,2048,2165,28.0,27.4,28.7,1280,3.26,67097.0
Beaver,Alaska,Yukon Koyukuk,West,Pacific,66.387197,-147.32548,84,1,1,0,83,4,0,0,41,43,32.0,26.5,43.5,36,2.33,28750.0
Bethel,Alaska,Bethel,West,Pacific,60.912509,-161.9762,7632,227,1847,114,5838,145,45,49,3660,3972,27.8,27.3,28.3,2232,3.27,51536.0
Bettles Field,Alaska,Yukon Koyukuk,West,Pacific,67.277654,-150.945403,30,0,21,1,10,0,0,0,12,18,54.5,55.5,52.0,24,1.25,52917.0
Big Lake,Alaska,Matanuska Susitna,West,Pacific,61.464922,-150.097668,3703,52,3365,21,420,113,26,48,1746,1957,41.5,40.5,42.5,1501,2.47,40944.0
Brevig Mission,Alaska,Nome,West,Pacific,65.441346,-166.939622,388,0,28,2,366,2,1,2,187,201,20.8,22.1,19.8,93,4.17,21875.0
Buckland,Alaska,Northwest Arctic,West,Pacific,65.874808,-160.50992,416,0,19,0,405,0,0,0,183,233,19.9,19.3,20.5,98,4.24,38333.0
Cantwell,Alaska,Denali,West,Pacific,63.336685,-148.086366,231,2,190,1,45,3,0,4,94,137,42.7,42.0,43.3,110,2.1,46500.0
Central,Alaska,Yukon Koyukuk,West,Pacific,65.232699,-144.425723,144,0,105,0,40,2,0,2,65,79,50.6,48.1,53.3,81,1.78,36875.0
Chalkyitsik,Alaska,Yukon Koyukuk,West,Pacific,66.641779,-143.750702,69,0,10,0,59,0,0,0,34,35,27.5,25.0,28.5,24,2.88,16250.0
Chefornak,Alaska,Bethel,West,Pacific,60.159414,-164.068411,418,0,16,2,403,0,0,0,208,210,23.6,22.8,26.4,92,4.54,35556.0
Chevak,Alaska,Wade Hampton,West,Pacific,61.472368,-164.837465,938,3,37,10,912,1,0,1,430,508,21.2,19.7,22.4,209,4.49,27188.0
Chicken,Alaska,Southeast Fairbanks,West,Pacific,63.864317,-141.936968,10,0,10,0,0,1,0,0,3,7,58.3,48.5,58.8,8,1.25,18125.0
Chignik,Alaska,Lake And Peninsula,West,Pacific,56.304672,-158.401254,91,4,34,0,56,1,0,1,40,51,45.3,44.0,46.5,41,2.22,34250.0
Chignik Lagoon,Alaska,Lake And Peninsula,West,Pacific,56.30741,-158.49604,78,1,23,1,58,3,1,3,38,40,36.0,33.0,41.3,29,2.69,92297.0
Chignik Lake,Alaska,Lake And Peninsula,West,Pacific,56.239163,-158.74329,73,0,4,0,70,0,1,0,32,41,32.5,40.5,28.5,27,2.7,41458.0
Chitina,Alaska,Valdez Cordova,West,Pacific,61.505789,-143.890392,192,1,166,0,53,3,0,0,89,103,34.5,29.5,43.5,89,2.16,25500.0
Chugiak,Alaska,Anchorage,West,Pacific,61.423518,-149.329945,4427,249,8392,137,922,342,29,95,4474,4737,39.3,38.9,39.7,3293,2.75,74471.0
Circle,Alaska,Yukon Koyukuk,West,Pacific,65.627924,-143.449118,104,0,16,4,90,2,0,0,54,50,31.7,25.0,35.5,40,2.6,11667.0
Clam Gulch,Alaska,Kenai Peninsula,West,Pacific,60.210537,-151.409868,42,4,262,0,32,1,7,1,130,149,49.8,45.8,51.3,131,2.13,37750.0
Clarks Point,Alaska,Dillingham,West,Pacific,58.832661,-157.861912,64,0,7,0,57,0,0,0,32,32,40.0,28.0,47.0,25,2.56,28125.0
Clear,Alaska,Denali,West,Pacific,64.749761,-148.928394,24,1,21,2,0,0,0,0,3,21,48.0,40.5,48.5,0,0.0,56250.0
Coffman Cove,Alaska,Prince Of Wales Hyder,West,Pacific,55.963322,-132.814536,231,0,224,0,10,2,0,0,89,142,50.0,50.5,48.5,115,2.01,41875.0
Cold Bay,Alaska,Aleutians East,West,Pacific,55.849607,-161.11259,160,3,102,3,60,6,0,3,67,93,42.7,44.8,41.5,68,2.34,53125.0
Cooper Landing,Alaska,Kenai Peninsula,West,Pacific,60.449316,-150.036542,7,5,288,0,9,0,1,0,139,157,55.0,55.8,54.6,163,1.82,34844.0
Copper Center,Alaska,Valdez Cordova,West,Pacific,61.798703,-143.851898,561,12,866,6,286,33,3,12,522,593,43.4,40.8,44.9,465,2.4,35179.0
