,Artist,Song,Lyrics,Sentiment
0,A,The Springs,eight week singer's disease meets stream ooooh headlines springs berlin grass shops alarm ooooh headlines springs doctor choice job pension money's mention rockin'est kills home's gum seat,Negative
1,A Broken Silence,Daydreams,saves confirming lately daydream saves daydream lane lyrics gaze target main themes mainstream pave roads whether r destined payloads wasteful witness stayed faced burnt bridges borderline twisted sane distance saves confirming lately daydream saves daydream thirsting third certain straps curtain cursing gee squat pushing weeks crowds f route snap moulds culdesacs traps grounds sold crack pan loads bigger remedies drinking warped vivid blinded youd steer course saves confirming lately daydream saves daydream saves confirming lately daydream saves daydream,Neutral
2,A Broken Silence,Hope,stained souls corrupt locate message pot til throwing colder nah soldiers bar poles building bridge millions resilient role models grip marching drum drugs fist funds journey twisted begun duties seek pursuit fame choosing fuel theyre fools youth decay focus dies retrain mobilize pulverized table dice inner demons poltergeist global hopes conquer ideas pioneers visions ideas pioneers visions liverpool fellow neglected warring zone abode forced roam spoke warmest tones cornerstone gifts ought quit spitting morbid poems cortisones swelling felons lots rebelling brains heading direction progression minds perplexing confession testing positive fights depression songs michael bible koran heed disciples vital buddha scribes tribes judah describe,Negative
3,A Broken Silence,The right price,mission brethren listening liars wealth religion virus rebelling wisdom guides bombs opponents mortgage bonus tuition missile hits precision terrorist ambition quick decision mission torcha cactus results evolve torcha destroy bury mind's cactus toll involved torcha cactus mission brethren listening liars wealth religion virus rebelling wisdom guides bombs strapped vest hopeless west bomb route explode bless thou lands occupation branded abominations circled domination patience blowing station consolation torcha cactus results evolve torcha destroy bury mind's cactus toll involved torcha cactus likes likes likes plied righteous likes plied righteous likes plied righteous likes plied righteous likes likes likes likes,Positive
4,A Broken Silence,Wake up,pressure building reflection sabotaged destined meds static tablets psychosomatic habit panic aerodynamic navigating geographic savaged grips chemical imbalance waking equipped challenge dazed embracing dazed embracing dazed embracing dazed embracing spark soak rays wet grass bare focussed reflection sabotaged destined rate sensation adrenalin rush resurrected appreciate blessing dazed embracing dazed embracing dazed embracing dazed embracing dazed embracing dazed embracing dazed embracing dazed embracing,Negative
5,A Camp,Algebra,algebra logic formula chest liberty ghosts bribing sunlight sympathy chest speed moved greater sum lungs chest,Positive
6,A Camp,I can buy you,sanity dignity millionaire bigger cost paying dues hire dollar playboy afford hire cash force fortune hire,Neutral
7,A chorus line,At the ballet,sheila married beneath proposed informed twentytwo twentytwo twentytwo married picnic five dug earrings weren't hers discuss ballet graceful lift lovely ballet ballet class steep narrow stairway sheila bebe metronome steep narrow stairway sheila bebe sheila bebe sheila bebe attractive grew grew diff'rent special personal flair eight nine eight nine eight nine hated diff'rent diff'rent figure lived maggie bebe ballet prince swan ballet bebe sheila ballet maggie sheila bebe steep narrow stairway metronome steep narrow stairway maggie bebe sheila maggie sheila bebe maggie spoken except marriage hospital fantastic indian chief maggie bebe sheila proposed maggie marriage sheila bebe maggie sheila bebe maggie indian chief maggie ballet someone's ballet ballet ballet maggie sheila bebe ballet bebe sheila maggie maggie sheila bebe attheballet,Positive
8,A chorus line,Sing!,note throat terrifying note lower disappear choir shriek squeak quiver moan croak record player tone dingaling mice mice intentional jingle bells jingle bells jingle bells jingle bells blows depressed lack pitch shower terrific pants birdie wing chirp saywho's twerp 'pong' 'ping' caroling dishearten ning disquiet ting discourag ging re sol re sol,Negative
9,A chorus line,What I did for love,sweetness sorrow gift ours borrow travel love's toward travel love's toward toward,Neutral
10,A Day to Remember,All signs point to Lauderdale,washed fit strayed prove washed fit tied plans prove washed fit fit time's bigger backing washed fit fit,Positive
11,A Day to Remember,A second glance,sneak reminded express impact entire serves reign prove reign prove,Neutral
12,A Day to Remember,Brick wall,karma laws attraction reckless abandon granted granted loser saddle headed brick cycle divine intervention worse gain momentum brakes doesnt loser saddle headed brick loser saddle headed brick wet cup headed brick motherfuckers pessimism killer pessimism killer,Negative
13,A Day to Remember,End of me,understanding brought suppress fair person stayed meaning suppress fair person helped suppress fair person,Positive
14,A Day to Remember,Forgive and forget,runaway seeing drawing motion bend enable brave pulling sink comfort drained drained,Neutral
15,A Day to Remember,It's complicated,bummed avoid cancel plans bond relate brought person person didnt sort constant reminders brought person person didnt problems brought person person didnt person person didnt,Neutral
16,A Day to Remember,Mindreader,powers bendin' readin' book finishing sentences tips tongues sixth senses gotyouseeinall ihavent notthe thinkin matters thinkin mindreader japan ancient searchin wisdom whatll sittin farther orlando delayed gate thinkin matters thinkin mindreader mindreader mindreader mindreader mindreader mindreader thinkin matters thinkin mindreader mindreader mindreader mindreader mindreader,Neutral
17,A Day to Remember,Miracle,struggled pressure builds breaks spiritual betting waited waited miracle waited waited miracle spiritual miracle leap prove eventually betting waited waited miracle waited waited miracle spiritual miracle weapon formed prosper stronger stronger spiritual betting waited waited miracle waited waited miracle spiritual miracle miracle,Positive
18,A Day to Remember,Paranoia,expect clock shootin' attack doctor heading destruction something's bomb ticking paranoia clouding judgment unknown unknown numbers blowing hearing footsteps someones doctor heading destruction bomb ticking paranoia clouding judgment doctor heading destruction wearing bomb ticking paranoia clouding judgment judgement,Negative
19,A Day to Remember,Resentment,resentment term fix term circling drain exactly trapped replay replay replay spark wildfire demons highwire lift lifting resentment rot pouring unforgiven washing exactly trapped replay replay replay spark wildfire demons highwire lift lifting resentment chip shoulder press issues judgement tiger spark wildfire demons highwire lift lifting spark wildfire demons highwire lift lifting wildfire wildfire resentment wildfire wildfire resentment,Negative
20,A Day to Remember,Sticks & bricks,fueled forms failure paid apologize none brightest placed class stood paper grab pen notes inspirational quotes stood reasons passed pressure lied difference stood reasons passed,Negative
21,A Day to Remember,Turn off the radio,tttturn somethin' missin' anger person perspective victim charade achangin' order questions relate division culture eating expected agree understands questions relate listenin' victims indifference controlling showing questions relate,Negative
22,A Fine Frenzy (Alison Sudol),Almost lover,fingertips palm swaying images sang spanish lullabies sweetest sadness clever trick unhappy hopeless luckless romance heartache lovers crowded danced images kissed images unhappy hopeless luckless romance heartache lovers haunted hopeless luckless romance heartache lovers,Neutral
23,A Fine Frenzy (Alison Sudol),Ashes and wine,mudslinging fragment tunnel ashes fate's sealed day's spinning surface coffee laced intoxicating claim allowed fragment tunnel ashes fragment tunnel ashes day's ashes ashes,Neutral
25,A Fine Frenzy (Alison Sudol),"Liar, liar",liar liar liar tallest tales burns ribs sinking sirens sang watched sailors siren fluttering aside hawk wire wire wires ribs sirens sang watched sailors siren ships following ships sirens sang watched sailors siren,Negative
26,A Fine Frenzy (Alison Sudol),Near to you,dysfunctional shouldn't experienced reeling loss delirious healing wonderful enjoying cautiously scarred disappearing fading steadily healing wonderful healing wonderful healing wonderful,Positive
27,A Fine Frenzy (Alison Sudol),Think of you,nine degrees crowded gallery lingers clothes figured brand initials towels planted roots notice ease owe paid,Neutral
28,A Fine Frenzy (Alison Sudol),Whisper,mouse cage forging whisper daydream hill whisper eager stopped tangles wires whisper daydream hill whisper tires forgetting whisper daydream hill whisper,Neutral
29,A Fine Frenzy (Alison Sudol),You picked me,counting signs tall buildings fading distance dots map five six fit apple leaves difficult picked shell beach difficult picked picked softly windows coffee warming fisherman's searched sand climbed brought apple leaves difficult picked shell beach difficult picked picked,Negative
30,A Flock of Seagulls,Burnin' up,wire shook object raging burnin' burnin' forbidden zone knocked pinned burnin' burnin' love's burnin' burnin',Negative
31,A Flock of Seagulls,Cry like a baby,asleep familiar few hesitates hadn't invented,Neutral
32,A Flock of Seagulls,DNA,instrumental,Neutral
33,A Flock of Seagulls,Don't ask me,buildings fields saucers search saucers waited anticipated 'cos points piercing towards saucers waited anticipated 'cos waited waited anticipated 'cos waited waited anticipated 'cos,Neutral
34,A Flock of Seagulls,Electrics,information electrical motion atmosphere given scare electric electric electrics ev'ry electrics ev'ry electric interference disturbance blast electrics ev'ry electrics ev'ry electrics ev'ry electrics ev'ry electrics ev'ry electrics ev'ry,Negative
35,A Flock of Seagulls,European (I wish I was),european designer cars african hill spear shield zulu european european european european european european european european european european,Neutral
36,A Flock of Seagulls,Heart of steel,breaks angels gift eagle brings refuses refuses refuses refuses refuses becomes,Neutral
37,A Flock of Seagulls,How could you ever leave me,reached jester's crown reached reached,Neutral
38,A Flock of Seagulls,(It's not me) Talking,language computer binary code pity ship sent message computer's overload happening planned sending messages contact planet galaxy planet,Negative
39,A Flock of Seagulls,I ran (So far away),avenue auburn tawny hypnotize hypnotize cloud appears beam cloud nearer aurora borealis view aurora view reached disappearing view 'appearing view reached floating beam beam,Neutral
40,A Flock of Seagulls,Life is easy,wildest hunger burns screams grey disappear horizon's wildest hunger burns screams,Negative
41,A Flock of Seagulls,Living in heaven,rhyme arrive appeared worries cares becomes discover twilight's blackness sand,Neutral
42,A Flock of Seagulls,Lost control,nightmare snow disguise stripped meeting alcoholics recognize blessing disguise bridges recognized,Neutral
43,A Flock of Seagulls,Magic,meeting brave downhearted spell cast spell,Neutral
44,A Flock of Seagulls,Man made,machines machines plans generation generation prepares holocaust machines machines obeys generation generation machines prepare holocaust,Neutral
45,A Flock of Seagulls,Messages,clock clock sending messages messages messages messages sunrise receiving messages messages messages messages rings saturn messages messages messages messages rings saturn receiving messages receiving messages messages messages messages rings saturn messages messages messages messages messages messages messages messages,Neutral
46,A Flock of Seagulls,Modern love is automatic,automatic cosmic garden japan love's forbidden hidden modern automatic modern automatic modern automatic modern automatic twenty diff'rent modern automatic modern automatic modern automatic modern automatic modern automatic modern automatic automatic automatic automatic automatic automatic automatic,Neutral
47,A Flock of Seagulls,Never again (The dancer),glow neon crowded dancer dancer dancer dancer clouded millions dancer dancer dancer dancer dancer dancer dancer dancer dancer dancer dancer,Neutral
48,A Flock of Seagulls,Nightmares,stopping pictures quiet younger among satin sheets pillows ease nightmares tightly diff'rent mama's veil joan understands nightmares tighter fading fading mem'ry shooting nightmares tighter,Neutral
49,A Flock of Seagulls,Over the border,asia crossing border romance romance romance mainland anger moves motion moves figure figure surrounded border border border,Positive
50,A Flock of Seagulls,Pick me up,depressed gloom depressed gloom,Negative
51,A Flock of Seagulls,Rainfall,raining crystal teardrops raining trace perfume calls dies eternal divide eternity beats raining shines,Neutral
52,A Flock of Seagulls,Remember David,david's hypnotize david's david's brow david's asking questions david david david's graygreen hides david's spirit moves david's david david david david david stood refused spirit moves david david david david,Neutral
53,A Flock of Seagulls,Say you love me,heart's tossed ship beaten driven emotion statue pure alabaster surrounded sirens disaster torn treat,Negative
54,A Flock of Seagulls,Space age love song,touched although,Neutral
55,A Flock of Seagulls,Standing in the doorway,lamp manual instructing cover doorway doorway doorway doorway silhouetted manual instructing cover doorway doorway doorway doorway presence chill sharp instruction manual instructing cover doorway doorway doorway doorway doorway doorway doorway doorway doorway doorway,Neutral
56,A Flock of Seagulls,Suicide day,sobs idea haven't haven't haven't c'mon c'mon c'mon haven't haven't haven't praying c'mon planned haven't haven't haven't suicide,Neutral
57,A Flock of Seagulls,Telecommunication,ultraviolet solar system beam telecommunication telecommunication telecommunication telecommunication laser beam tv screen color telecommunication telecommunication telecommunication telecommunication video screen page calibration nuclear age telecommunication telecommunication telecommunication telecommunication,Neutral
58,A Flock of Seagulls,The end,five o'clock six magazine happening haven't fourteenth below,Neutral
59,A Flock of Seagulls,"The more you live, the more you love",mortal desert lasts mortal,Neutral
60,A Flock of Seagulls,The story of a young heart,tearing week slipped happiness,Positive
61,A Flock of Seagulls,The traveller,traveller arriving traveller emotion traveller emotion traveller traveller traveller traveller traveller traveller,Neutral
62,A Flock of Seagulls,Tokyo,asked telephone toky toky toky toky tokyo tokyo tokyo tokyo tokyo awhile tokyo tokyo asked tokyo telephone toky toky toky toky tokyo tokyo tokyo tokyo,Neutral
63,A Flock of Seagulls,Transfer affection,transfer affection factor direction connections transfer affection starting reflection reaching affection disguise,Positive
64,A Flock of Seagulls,What am I supposed to do?,especially reveals lied emotions reveals,Neutral
65,A Flock of Seagulls,Who's that girl (She's got it),lovely lovely dances sings lovely hypnotized tender lovely tender gogirl,Positive
66,A Flock of Seagulls,Windows,phobia loneliness bloom phonebox hall misplace absurd below shades fading,Negative
67,A Flock of Seagulls,Wishing (If I had a photograph of you),although certain perfume photograph remind wishing makeup evening glance divide photograph remind wishing photograph remind wishing,Positive
68,A Flock of Seagulls,You're mine,wrap tightly harm desert although desert desert,Negative
69,A Flock of Seagulls,You can run,try'n' try'n',Neutral
70,A Ghost Story,I get overwhelmed,runnin awful wakin crooked nose boring wrinkles emptiness messages thumbs longest highest score crush lament internet privilege overwhelmed convince runnin overwhelmed awful screens breakin,Negative
71,A girl called Eddy,Somebody hurt you,aching wrapped awhile aching younger aching,Negative
72,A Great Big World,Already home,commit counting backwards bend course,Neutral
73,A Great Big World,Boys in the street,younger amount special angle kissing embarrassing worked repay kissing kissing daddy's heart's warmer hug health kissing kissing daddy's realized smiling taught kissing kissing kissing,Positive
74,A Great Big World,Can we go back home,beneath speck heights beginning bitter winning mistakes amends,Neutral
75,A Great Big World,Cheer up!,cheer matters outer cheer interconnected reaches galaxy travelled aboard pink spaceship cheer atoms dinosaur special grand design cheer discover billion others arrive cheer matters outer billion,Positive
76,A Great Big World,Darling it's over,havent reasons excuses weve hardest reasons excuses,Neutral
77,A Great Big World,Everyone is gay,gay gay week unlike others unique procreate gay babies love's issue stops spinning gay gay options fish stops spinning gay,Neutral
78,A Great Big World,Fall on me,sooner circles guide cannonball winning sharing christina aguilera sooner shattered willing wherever reasons millions particles passing meaning christina aguilera seeing breathing christina aguilera,Neutral
79,A Great Big World,Glowing,snow winds crash roar spark glowing love's spark glowing love's spark glowing love's love's love's,Neutral
80,A Great Big World,Here without you,yea gettin gettin easier hearing messed tearing drinkin bar leather jacket nervous habit isnt fair wasnt cigarettes clothes wherever tearing drinkin bar tearing drinkin bar,Neutral
81,A Great Big World,Hold each other,sounds ohhh trapped couldnt didnt shed ohhh happens colder showed begun ohhh happens frozen futuristic stressing blessing sent seconds judged couldnt connection reflection pigments coincide couldnt whats color size weve grew missed dumb didnt fit plot appreciate chills person honestly happens colder,Negative
82,A Great Big World,I don't wanna love somebody else,built lived aligned unspoken buried shouldn't loneliness kills greatest,Neutral
83,A Great Big World,I really want it,chuck inhabitans sell souls stereo ignition decision spinning upside homeward bound crawling maker listening religion clearer chuck inhibitions sell souls n' missin',Neutral
84,A Great Big World,Land of Opportunity,sailing opportunity birds sailing hip hip hooray 'hello' bother changing fault missed signs ruined holiday 'hello' sailing opportunity,Neutral
85,A Great Big World,Mama,distance calm distance someway someway someway,Neutral
86,A Great Big World,Rockstar,backyard bangin' drum sittin' junk pile singin' rockstar backseat singin' playin' singin' rockstar singin' rockstar touchdown mars thinkin' playin' guitar buried thinkin' singin' meaning spinnin' wishin' hangin' singin' rockstar singin' rockstar singin' rockstar meaning spinnin' figure feelin' learning possible ticket rockstar,Neutral
87,A Great Big World,Save me from myself,closing heaviness surrounds breathin nothin noise darlin gettin turnin burnin losin traction spinning chain reactions reasons holdin darlin plays chapter written itll suddenly crawlin mothers callin fallin,Neutral
88,A Great Big World,Say something feat. Christina Aguilera,would've followed stumble learning starting would've followed followed ohohohoh,Neutral
89,A Great Big World,Say something,would've followed stumble learning starting would've followed followed ohohohoh,Neutral
90,A Great Big World,Shorty don't wait,shorty shorty shorty shorty lift spirits shorty shorty shorty shorty precious shorty shorty shorty shorty shoulders starting twice shorty shorty shorty shorty shorty shorty shorty shorty,Positive
91,A Great Big World,There is an answer,sailor lucky exactly begins ripple efforts multiply difference history exists,Neutral
92,A Great Big World,The one,easily explain brighter isnt,Positive
93,A Great Big World,This is the new year,embrace louder meaning role important underground suns brightest divide statue beginning brightest,Positive
94,A Great Big World,You'll be okay,prayer,Neutral
95,A life divided,Heart on fire,listening reasons given devils slave,Negative
96,A life divided,It ain't good,ended fooled ourselves hears answers others preacher didnt sink ruin leads trough unknown waters sail strife brings neverending brings,Neutral
97,A life divided,Other side,warning miserable dawning chest deeper longing where's guides worried worried longing where's guides bound where's guides,Negative
98,A life divided,Sounds like a melody,trick bathing screen soft tune resting shoulders wolf brand alight heels heels ringing laughter sounds melody forbidden places definite resting moonlight sighs resting shoulder soft ecstasy jealousy comedy cary grants kellys tragedy harmony alight starting satellite alight,Positive
99,A life divided,Space,whats ardent view soothe ears soothe disguise view excuses hollow able,Positive
100,A life divided,The last dance,situation ecstasy ourselves johnny marylin heroin kills thrills engines ourselves bitter boring conformity tragedy engines ourselves bitter,Negative
101,A little night music,Send in the clowns,rich pair midair clowns bliss approve tearing clowns clowns stopped opening doors entrance usual flair farce fault clowns quick clowns bother rich queer timing career clowns ought clowns,Neutral
102,A lot like love,Breathe (2AM),calls unravel latest season doors accusing criticize hypocrites jump cars cable hourglass glued table rewind button cradle base fort bliss flask fist sober october smiles jump cars cable hourglass glued table rewind button cradle tunnel mistakes writing paper threatening belongs naked diary however jump cars cable hourglass glued table rewind button,Neutral
103,A Nightmare on Elm Street,Dream warriors,dread unknown warriors warriors explain callin' callin' warriors warriors warriors revenge bitter spell illusion bound warriors warriors warriors warriors warriors warriors warriors warriors,Negative
104,A Nightmare on Elm Street,I'm awake now,drownin' sunless helped asleep banshee's pane asleep sits waits confusion building begins asleep asleep,Neutral
105,A Nightmare on Elm Street,Into the fire,weave spell beckon misery draw burns consumes tempted,Negative
106,A Nightmare on Elm Street,Running from this nightmare,strikes walks attack oneway nightmare nightmare nightmare beats faster haven't gotten nightmare nightmare nightmare,Negative
107,A Perfect Circle,Disillusioned,dopamine dopamine overrun animal addicts immediate obedient unaware feeding mutation pavlovian despair disillusioned towards glimmering silicon obsession supine dis reconnect resonance island unique among choir tuning lift dopamine dopamine willingly rewired clever agents looping reflections obsessions draw fix fixation sentience disillusioned dive crows towards glittering silicon obsession supine dis reconnect resonance island unique among choir tuning lift,Negative
108,A Perfect Circle,Imagine,below countries religion dreamer join sharing dreamer join possessions greed hunger brotherhood sharing dreamer join,Positive
109,A Perfect Circle,Passive,doctor tells optimistic ability disappoint leaning catatonic brief reflection ability disappoint disappoint disappoint passive aggressive bullshit,Negative
110,A Perfect Circle,"So long, and thanks for all the fish",dime diets lawyers shrinks apps flags plastic surgery willy wonka major tom ali leia moved signal curtain atomic pageantry bravissimo hiphip hooray fireworks display blown radiant crescendo ticker tape parade marilyn monroe afterwind dime politicians fancy guns plastic surgery prince brady's dolphins moved signaling curtain atomic pageantry bravissimo hiphip hooray glorious display melt joyous mushroom cloud confetti hiphip hooray fireworks display blown radiant crescendo hiphip hooray hiphip hooray ticker tape parade marilyn monroe afterwind dime diets lawyers shrinks apps flags plastic surgery willy wonka major tom ali leia moved signal curtain atomic pageantry,Positive
111,A Perfect Circle,TalkTalk,miracles bleeding prayers adorable cake crisis bleeding deliberate bodies accumulate jesus jesus jesus jesus solution solution solution works works works jesus jesus jesus jesus braving lifting extending,Positive
112,A Perfect Circle,The doomed,behold christ behold horde gather altering beginning beatitude blessed fornicates bend whores blessed rich labor deliver blessed envious bless slothful wrathful blessed gluttonous feast famine pious pure peaceful meek mourning merciful doomed doomed behold christ behold horde gather altering beginning beatitude pious pure peaceful meek mourning merciful righteous charitable truthful dutiful decent doomed poor doomed peaceful doomed meek doomed merciful beatitude doomed,Negative
113,A Perfect Circle,The outsider,wired given reckless desires suicidal imbecile pounding fault what'll precious disconnect selfdestruct bullet rush medicated drama numb belligerence narcissistic drama craving fame decadence suicidal imbecile pounding fault what'll precious disconnect self destruct bullet rush suicidal imbecile pounding fault what'll precious disconnect self destruct bullet trigger drama prove sincere,Negative
114,A Perfect Circle,What's going on?,cryin' dyin' escalate conquer picket picket signs punish brutality thinks judge simply understanding picket picket signs punish brutality,Negative
115,A Rocket to the Moon,Ever enough,regardless heartbeat fading til drunk ifs maybes highest heights reaching til drunk whats ours ull til drunk,Negative
116,A Rocket to the Moon,She's killing me,sunshine shirt hates favourite drives drives gas outskirts trail roses spends daddy's credit card lazy nightmare outskirts trail roses clothes bought roses complained thorns smiling outskirts trail roses outskirts trail roses,Neutral
117,A series of unfortunate events (TV series),It's the Count,violet baudelaire klaus james brown olaf wakka wakka wow troupe olaf robust large amount handsome talented bank account troupe olaf olaf troupe c olaf courageous brave olaf troupe olaf handsome knave olaf troupe u olaf unbelievable brains olaf troupe olaf knowledge smart olaf troupe olaf alent crucial factor handsome goodlooking world's greatest actor troupe olaf robust large amount handsome talented bank account olaf troupe,Positive
118,A series of unfortunate events (TV series),Keep chasing your schemes,hookhanded bridge changes gunther gunther handsome success brains accent wink schemes schemes future's month week charge regimes schemes hunting criminal chances failure minimal fortune plate bait schemes schemes journey begins schlep schlep schlep goals sapphire gleams schemes schemes schemes ratchet hack extremes ow schemes schemes,Neutral
119,A series of unfortunate events (TV series),Look away (2 seasons),wreck evening episode dismay awful tries fortune plot lawful fathom orphans manage decent person view baudelaires studies snakes jolly secretive few mistakes spoiler alert villain murder further baudelaires' guardian wracked panic titanic polled bunch adults agree happier screen lumber mill baudelaires forced doctor sinister owner jerk fiendish plot logs hypnotism skepticism baudelaires forced shack comfort safety among lack laps fantastic shape ought das baudelaires rich olaf clock rescue kidnapped rescuing grim vfd quagmires kidnapped jewels baudelaires rescue jailed improve shoobedobedop ship sailed baudelaires crawling doctors olaf's troupe lousy actors dreadful happens sharp rusty baudelaires carnival freaks olaf several weeks lions hinterlands fierce literally program wierse horror inconvenience stable person,Negative
120,A series of unfortunate events (TV series),That's not how the story goes,lemony snicket baudelaires ought prevail tucked olaf captured rotting jail henchpeople olaf endings sorrows woes justice poe parents brave ripe age curtain rings stage violet klaus endings olaf sorrows woes poe justice lemony snicket olaf endings violet klaus sorrows woes violet justice olaf pair illfitting pants dire hideous clothes violet klaus pleasant lemony snicket olaf suppose poe gloom despair poe coughs,Negative
